
State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong,Back Creek,50,80,"Mount William, Brisbane Ranges National Park"
Victoria,Geelong,Balliang,25,50,"Balliang Park, Werribee Gorge"
Victoria,Geelong,Balwyn,260,290,"Balwyn Park, local cafes"
Victoria,Geelong,Bannockburn,10,45,"Bannockburn Arboretum"
Victoria,Geelong,Bannockburn,30,70,"Bannockburn Arboretum, local parks, Bannockburn Golf Course"
Victoria,Geelong,Bannockburn,30,85,"Bannockburn Park, local shops, country views"
Victoria,Geelong,Bannockburn,33,93,"Bannockburn Heritage Walk, local parks, rural landscapes"
Victoria,Geelong,Banyule,65,75,"Banyule Flats Reserve, Yarra River"
Victoria,Geelong,Barrabool,27,87,"Barrabool Hills, rural countryside, local vineyards"
Victoria,Geelong,Barrabool,30,90,"Barrabool Hills, local vineyards, rural area"
Victoria,Geelong,Barwon Heads,30,90,"Barwon Heads Beach, local shops, Barwon River"
Victoria,Geelong,Barwon Heads,32,92,"Barwon Heads Beach, Bluff, local cafes"
Victoria,Geelong,Barwon Heads,33,93,"Barwon Heads Beach, Bluff, local cafes"
Victoria,Geelong,Barwon Heads,35,95,"Barwon Heads Beach, local shops, Barwon River"
Victoria,Geelong,Barwon Heads,36,96,"Barwon Heads Beach, Bluff Lookout, local boutiques"
Victoria,Geelong,Barwon Heads,40,100,"Barwon Heads Beach, local parks, scenic views"
Victoria,Geelong,Barwon Heads,40,110,"Barwon Heads Beach, local parks, local shopping precinct"
Victoria,Geelong,Barwon Heads,45,70,"Barwon Heads Beach, Jirrahlinga Koala and Wildlife Sanctuary"
Victoria,Geelong,Barwon Heads,45,75,"Barwon Heads Beach, Jirrahlinga Koala and Wildlife Sanctuary"
Victoria,Geelong,Barwon Heads,52,112,"Barwon Heads Beach, local shops, scenic coastal views"
Victoria,Geelong,Barwon Heads,55,115,"Barwon Heads Beach, local shops, wineries"
Victoria,Geelong,Barwon Heads,55,125,"Barwon Heads Beach, local parks, local cafes"
Victoria,Geelong,Bass,270,330,"Bass Coast, local parks"
Victoria,Geelong,Batesford,15,65,"Batesford Reservoir, local nature walks, country living"
Victoria,Geelong,Batesford,18,70,"Batesford Nature Reserve, local parks"
Victoria,Geelong,Batesford,18,70,"Batesford Park, local shops, rural views"
Victoria,Geelong,Batesford,21,81,"Batesford Wildlife Reserve, scenic countryside"
Victoria,Geelong,Batesford,30,90,"Batesford Creek, scenic rural views, local parks"
Victoria,Geelong,Beaconsfield,180,210,"Beaconsfield Plaza, local parks"
Victoria,Geelong,Beaconsfield,75,95,"Beaconsfield Emerald Railway, Cardinia Reservoir"
Victoria,Geelong,Beaumaris,90,100,"Beaumaris Beach, local parks"
Victoria,Geelong,Bell Park,15,45,"Geelong Golf Course, Geelong Showgrounds"
Victoria,Geelong,Bell Park,15,55,"Bell Park Reserve, local parks"
Victoria,Geelong,Bell Park,20,50,"Geelong Golf Course, Geelong Showgrounds"
Victoria,Geelong,Bell Park,22,82,"Bell Park Reserve, local schools, residential areas"
Victoria,Geelong,Bell Park,22,82,"Bell Park Shopping Centre, local schools, parks"
Victoria,Geelong,Bell Park,24,74,"Bell Park Recreation Reserve, local parks, residential areas"
Victoria,Geelong,Bell Post Hill,15,50,"Bell Post Hill Reserve, local parks, residential area"
Victoria,Geelong,Bell Post Hill,20,60,"Bell Post Hill Reserve, Norlane Community Centre"
Victoria,Geelong,Bell Post Hill,21,81,"Bell Post Hill Shopping Centre, local reserves, community facilities"
Victoria,Geelong,Bell Post Hill,25,60,"Bell Post Hill Reserve"
Victoria,Geelong,Bellarine,35,90,"Bellarine Peninsula, local wineries, coastal views"
Victoria,Geelong,Bellarine,37,97,"Bellarine Peninsula, local wineries, coastal views"
Victoria,Geelong,Bellarine,44,104,"Bellarine Peninsula, local wineries, coastal views"
Victoria,Geelong,Bellbrae,35,95,"Bellbrae Golf Course, local parks"
Victoria,Geelong,Belmont,25,85,"Barwon River, Belmont Common, local cafes"
Victoria,Geelong,Belmont,35,70,"Barwon River, Waurn Ponds Creek"
Victoria,Geelong,Belmont,40,65,"Barwon River, Waurn Ponds Creek"
Victoria,Geelong,Bemm River,320,380,"Bemm River Beach, local parks"
Victoria,Geelong,Bendigo,125,150,"Bendigo Art Gallery, Rosalind Park"
Victoria,Geelong,Bentleigh East,200,230,"Bentleigh East Village, local parks"
Victoria,Geelong,Bentleigh,200,230,"Bentleigh Shopping Centre, local parks"
Victoria,Geelong,Berringa,75,130,"Berringa Reservoir"
Victoria,Geelong,Berwick,110,130,"Berwick Springs, local parks"
Victoria,Geelong,Berwick,180,210,"Berwick Springs, local parks"
Victoria,Geelong,Black Rock,200,230,"Black Rock Beach, local parks"
Victoria,Geelong,Black Rock,270,300,"Black Rock Beach, local parks"
Victoria,Geelong,Black Rock,50,60,"Half Moon Bay, Black Rock Yacht Club"
Victoria,Geelong,Black Rock,90,100,"Black Rock Beach, local parks"
Victoria,Geelong,Blackburn North,85,105,"Blackburn Creeklands, Blackburn High School"
Victoria,Geelong,Blackburn,80,95,"Blackburn Lake Sanctuary, Blackburn Village"
Victoria,Geelong,Blackburn,85,95,"Blackburn Lake Sanctuary, local parks"
Victoria,Geelong,Blackwood,90,110,"Blackwood Forest, Wombat State Forest"
Victoria,Geelong,Blakeview,110,120,"Blakeview Golf Course, Greenwith Reserve"
Victoria,Geelong,Bonang,340,400,"Bonang River, local parks"
Victoria,Geelong,Bonbeach,230,260,"Bonbeach Beach, local parks"
Victoria,Geelong,Bonbeach,280,310,"Bonbeach Beach, local parks"
Victoria,Geelong,Bonbeach,75,95,"Bonbeach Foreshore, Patterson River"
Victoria,Geelong,Boneo,250,280,"Boneo Conservation Reserve, local parks"
Victoria,Geelong,Bonshaw,50,85,"Victoria Park, Ballarat Botanical Gardens"
Victoria,Geelong,Borrowdale,60,120,"Borrowdale National Park"
Victoria,Geelong,Box Hill,260,290,"Box Hill Central, local parks"
Victoria,Geelong,Box Hill,85,90,"Box Hill Central, local parks"
Victoria,Geelong,Braybrook,45,55,"Braybrook Park, Highpoint Shopping Centre"
Victoria,Geelong,Braybrook,60,95,"Braybrook Park, local shops, schools"
Victoria,Geelong,Breakwater,10,60,"Breakwater Reserve, local shops"
Victoria,Geelong,Brighton,200,230,"Brighton Beach, local parks"
Victoria,Geelong,Brighton,85,105,"Brighton Beach, Brighton Bathing Boxes"
Victoria,Geelong,Broadmeadows,35,50,"Broadmeadows Valley Park, Broadmeadows Shopping Centre"
Victoria,Geelong,Broughton,70,140,"Grampians National Park"
Victoria,Geelong,Brown Hill,80,130,"Mount Buninyong, Brown Hill Reserve"
Victoria,Geelong,Brunswick East,80,85,"Brunswick East Village, local parks"
Victoria,Geelong,Brunswick East,95,105,"CERES Environmental Park, Brunswick East Village"
Victoria,Geelong,Brunswick West,80,85,"Brunswick Street, local parks"
Victoria,Geelong,Brunswick West,85,100,"Princes Park, Brunswick West Reserve"
Victoria,Geelong,Brunswick,130,160,"Brunswick Street, local parks"
Victoria,Geelong,Brunswick,80,90,"Brunswick Street, local parks"
Victoria,Geelong,Brunswick,90,100,"Brunswick Street, Brunswick Park"
Victoria,Geelong,Bruthen,300,360,"Bruthen Railway Station, local parks"
Victoria,Geelong,Bulleen,150,180,"Bulleen Plaza, local parks"
Victoria,Geelong,Bulleen,250,280,"Bulleen Park, local shops"
Victoria,Geelong,Bundoora,160,190,"Bundoora Park, local parks"
Victoria,Geelong,Bundoora,230,260,"Bundoora Park, local shops"
Victoria,Geelong,Bundoora,80,100,"Bundoora Park, local parks"
Victoria,Geelong,Bundoora,80,110,"Bundoora Park, local parks"
Victoria,Geelong,Buninyong,90,130,"Buninyong Botanical Gardens, Mount Buninyong"
Victoria,Geelong,Burnside,210,240,"Burnside Park, local shops"
Victoria,Geelong,Burwood,80,95,"Burwood Brickworks, Burwood Highway"
Victoria,Geelong,Burwood,85,100,"Burwood Brickworks, Burwood Highway"
Victoria,Geelong,Cairnlea,25,45,"Cairnlea Park, Cairnlea Lake"
Victoria,Geelong,Camberwell,85,90,"Camberwell Junction, local parks"
Victoria,Geelong,Campbellfield,20,35,"Campbellfield Plaza, Campbellfield Shopping Centre"
Victoria,Geelong,Campbellfield,35,45,"Campbellfield Plaza, Campbellfield Shopping Centre"
Victoria,Geelong,Cape Woolamai,260,310,"Cape Woolamai, local parks"
Victoria,Geelong,Carey,170,200,"Carey Baptist Grammar, local parks"
Victoria,Geelong,Carlton,75,80,"Carlton Gardens, Melbourne Museum"
Victoria,Geelong,Carnegie,115,130,"Carnegie Shopping Centre, local parks"
Victoria,Geelong,Carnegie,200,230,"Carnegie Shopping Centre, local parks"
Victoria,Geelong,Carnegie,210,240,"Carnegie Central, local parks"
Victoria,Geelong,Caroline Springs,30,45,"Caroline Springs Town Centre, Lake Caroline"
Victoria,Geelong,Caroline Springs,30,50,"Caroline Springs Town Centre, Lake Caroline"
Victoria,Geelong,Caroline Springs,50,85,"Caroline Springs Lake, local shops, parks"
Victoria,Geelong,Carwoola,150,180,"Carwoola Creek, Murrumbateman"
Victoria,Geelong,Caulfield,120,135,"Caulfield Racecourse, local parks"
Victoria,Geelong,Caulfield,75,85,"Caulfield Park, Caulfield Racecourse"
Victoria,Geelong,Ceres,18,78,"Ceres Community Environment Park, rural views"
Victoria,Geelong,Ceres,22,80,"Ceres Community Park, local shops, rural views"
Victoria,Geelong,Ceres,23,73,"Ceres Community Park, local markets, rural scenery"
Victoria,Geelong,Ceres,32,92,"Ceres Hall, scenic views, local parks"
Victoria,Geelong,Chadstone,80,90,"Chadstone Shopping Centre, Holmesglen College"
Victoria,Geelong,Charlemont,10,45,"Charlemont Public Park, Breamlea Beach"
Victoria,Geelong,Charlemont,15,60,"Charlemont Park, Geelong Golf Club, local amenities"
Victoria,Geelong,Charlemont,20,50,"Charlemont Public Park, Breamlea Beach"
Victoria,Geelong,Charlemont,20,80,"Charlemont Park, local farms, rural charm"
Victoria,Geelong,Charlemont,31,91,"Charlemont Recreation Reserve, local parks, rural views"
Victoria,Geelong,Chelsea Heights,230,260,"Chelsea Heights Golf Club, local parks"
Victoria,Geelong,Chelsea,230,260,"Chelsea Beach, local parks"
Victoria,Geelong,Cheltenham,190,220,"Southland Shopping Centre, local parks"
Victoria,Geelong,Cheltenham,270,300,"Cheltenham Park, local shops"
Victoria,Geelong,Cheltenham,75,90,"Cheltenham Park, Southland Shopping Centre"
Victoria,Geelong,Cheltenham,85,90,"Southland Shopping Centre, local parks"
Victoria,Geelong,Clarke Creek,55,120,"Clarke Creek Falls, Clarke Creek Reserve"
Victoria,Geelong,Clayton South,280,310,"Clayton South Village, local parks"
Victoria,Geelong,Clayton,210,240,"Monash University, local parks"
Victoria,Geelong,Clifton Springs,25,50,"Clifton Springs Golf Club, Bellarine Peninsula"
Victoria,Geelong,Clifton Springs,33,93,"Clifton Springs Golf Club, coastal views, fishing spots"
Victoria,Geelong,Clifton Springs,38,95,"Clifton Springs Beach, local parks, Bellarine Peninsula"
Victoria,Geelong,Clifton Springs,45,105,"Clifton Springs Foreshore, local parks, scenic views"
Victoria,Geelong,Clifton Springs,45,110,"Clifton Springs Golf Course, local parks"
Victoria,Geelong,Cloverdale,22,80,"Cloverdale Park, local shops, rural area"
Victoria,Geelong,Clyde,50,110,"Clyde North Village, local vineyards, residential growth"
Victoria,Geelong,Coburg North,80,85,"Coburg North Shopping Centre, local parks"
Victoria,Geelong,Coburg North,80,90,"Coburg North Shopping Centre, local parks"
Victoria,Geelong,Coburg North,80,95,"Batman Park, Merlynston Creek"
Victoria,Geelong,Coburg,80,90,"Coburg Lake Reserve, local parks"
Victoria,Geelong,Coburg,85,100,"Coburg Lake, Coburg North"
Victoria,Geelong,Colac East,80,160,"Lake Colac, local parks"
Victoria,Geelong,Colac West,80,160,"Lake Colac, local shops"
Victoria,Geelong,Colac,120,150,"Colac Botanic Gardens, Lake Colac"
Victoria,Geelong,Colac,80,160,"Lake Colac, Botanic Gardens, local parks"
Victoria,Geelong,Collingwood North,95,110,"Collingwood Market, Collingwood Town Hall"
Victoria,Geelong,Collingwood,130,155,"Collingwood Children's Farm, local cafes"
Victoria,Geelong,Collingwood,230,260,"Collingwood Children's Farm, local parks"
Victoria,Geelong,Collingwood,75,80,"Collingwood Children's Farm, local parks"
Victoria,Geelong,Collingwood,90,105,"Collingwood Children's Farm, Smith Street"
Victoria,Geelong,Connewarre,20,55,"Lake Connewarre, Connewarre Conservation Reserve"
Victoria,Geelong,Connewarre,31,91,"Connewarre Wetlands, local farms, scenic countryside"
Victoria,Geelong,Corinella,270,320,"Corinella Beach, local parks"
Victoria,Geelong,Corio Bay,20,60,"Corio Bay, beaches, coastal walking tracks"
Victoria,Geelong,Corio Bay,20,70,"Corio Bay, local parks, waterfront"
Victoria,Geelong,Corio,10,40,"Corio Bay, Royal Geelong Yacht Club"
Victoria,Geelong,Corio,15,50,"Corio Bay, local parks, Northern Geelong Secondary College"
Victoria,Geelong,Corio,18,60,"Corio Bay, local parks, The You Yangs Regional Park"
Victoria,Geelong,Corio,18,78,"Corio Bay, Corio Village Shopping Centre, Shell Reserve"
Victoria,Geelong,Corio,20,55,"Corio Village Shopping Centre, local parks, Corio Bay"
Victoria,Geelong,Corio,21,71,"Corio Bay, local parks, industrial areas"
Victoria,Geelong,Corio,21,81,"Corio Bay, local shopping centre, recreational areas"
Victoria,Geelong,Corio,21,81,"Corio Village Shopping Centre, local parks, coastal views"
Victoria,Geelong,Corryong,380,450,"Corryong Wildlife Park, local parks"
Victoria,Geelong,Cragieburn,40,55,"Craigieburn Central, Craigieburn Grasslands"
Victoria,Geelong,Craigieburn,35,45,"Craigieburn Central Shopping Centre, Craigieburn Grasslands"
Victoria,Geelong,Cranbourne,65,70,"Cranbourne Botanical Gardens, Royal Botanic Gardens"
Victoria,Geelong,Croajingolong,320,380,"Croajingolong National Park, local parks"
Victoria,Geelong,Curlewis,39,105,"Curlewis Golf Club, local parks, Bellarine Peninsula"
Victoria,Geelong,Curlewis,39,99,"Curlewis Golf Club, local parks, Bellarine Peninsula"
Victoria,Geelong,Curlewis,40,100,"Curlewis Golf Club, local parks, Bellarine Peninsula"
Victoria,Geelong,Curlewis,40,110,"Curlewis Golf Club, Bellarine Peninsula, local parks"
Victoria,Geelong,Curlewis,50,120,"Curlewis Golf Club, local parks, wineries"
Victoria,Geelong,Dandenong North,210,240,"Dandenong Park, Dandenong Plaza"
Victoria,Geelong,Dandenong North,90,105,"Dandenong Basketball Stadium, Springvale Botanical Gardens"
Victoria,Geelong,Dandenong,110,130,"Dandenong Plaza, Dandenong Market"
Victoria,Geelong,Dandenong,210,240,"Dandenong Plaza, Dandenong Market"
Victoria,Geelong,Dandenong,85,95,"Dandenong Market, Dandenong Park"
Victoria,Geelong,Darley,75,110,"Werribee Gorge, Lerderderg River"
Victoria,Geelong,Deans Marsh,60,120,"Deans Marsh Reserve, rural scenery, local wildlife"
Victoria,Geelong,Deer Park,40,50,"Deer Park Shopping Centre, Brimbank Park"
Victoria,Geelong,Deer Park,60,100,"Deer Park Lake, local shopping centers, parks"
Victoria,Geelong,Delacombe,80,130,"Delacombe Park, Ballarat Wildlife Park"
Victoria,Geelong,Diamond Creek,110,125,"Diamond Creek Reserve, The Plenty River Trail"
Victoria,Geelong,Diamond Creek,140,170,"Diamond Creek Trail, local parks"
Victoria,Geelong,Diamond Creek,240,270,"Diamond Creek Trail, local parks"
Victoria,Geelong,Diggers Rest,45,55,"Diggers Rest Reserve, Diggers Rest Hotel"
Victoria,Geelong,Docklands,80,90,"Docklands Stadium, Melbourne Star Observation Wheel"
Victoria,Geelong,Donald,200,250,"Donald Golf Club, Donald Historical Society"
Victoria,Geelong,Doncaster,150,180,"Westfield Doncaster, local parks"
Victoria,Geelong,Doncaster,250,280,"Westfield Doncaster, local parks"
Victoria,Geelong,Doncaster,85,95,"Westfield Doncaster, local parks"
Victoria,Geelong,Donvale,250,280,"Donvale Reserve, local trails"
Victoria,Geelong,Doreen,160,190,"Mernda Park, local parks"
Victoria,Geelong,Doveton,85,100,"Doveton Park, Dandenong Creek Trail"
Victoria,Geelong,Drouin,95,105,"Drouin Golf Club, Drouin Park"
Victoria,Geelong,Drumbo,28,95,"Drumbo Rail Station, local parks, rural views"
Victoria,Geelong,Drysdale,20,55,"Drysdale Railway Station, Bellarine Rail Trail"
Victoria,Geelong,Drysdale,32,92,"Drysdale Railway Station, local vineyards, Bellarine Rail Trail"
Victoria,Geelong,Drysdale,35,105,"Drysdale Railway Station, local parks, local wineries"
Victoria,Geelong,East Geelong,10,65,"Eastern Beach, Geelong Botanic Gardens"
Victoria,Geelong,East Geelong,10,65,"Eastern Beach, local parks, Geelong Botanic Gardens"
Victoria,Geelong,East Geelong,15,45,"Eastern Beach, Geelong Botanic Gardens"
Victoria,Geelong,East Geelong,20,70,"Eastern Gardens, local cafes, local shops"
Victoria,Geelong,East Geelong,22,82,"East Geelong Park, local cafes, residential areas"
Victoria,Geelong,East Geelong,24,84,"East Geelong Bowls Club, local parks, Geelong East Shopping Centre"
Victoria,Geelong,East Geelong,28,78,"Eastern Park, Geelong Botanic Gardens, local cafes"
Victoria,Geelong,East Geelong,28,88,"East Geelong Shopping Centre, local parks"
Victoria,Geelong,East Gippsland,330,390,"East Gippsland Rail Trail, local parks"
Victoria,Geelong,East Malvern,270,300,"East Malvern Village, local parks"
Victoria,Geelong,East Melbourne,75,80,"Fitzroy Gardens, local shops"
Victoria,Geelong,East Melbourne,90,100,"Rod Laver Arena, Fitzroy Gardens"
Victoria,Geelong,East Melbourne,95,105,"Rod Laver Arena, Fitzroy Gardens"
Victoria,Geelong,East Richmond,130,155,"Richmond Park, MCG"
Victoria,Geelong,Edithvale,230,260,"Edithvale Beach, local parks"
Victoria,Geelong,Elcho,80,100,"Elcho Park"
Victoria,Geelong,Elsternwick,75,85,"Elsternwick Park, Elwood Beach"
Victoria,Geelong,Eltham,170,200,"Eltham Park, local parks"
Victoria,Geelong,Eltham,240,270,"Eltham Lower Park, local parks"
Victoria,Geelong,Eltham,80,110,"Eltham Park, local parks"
Victoria,Geelong,Eltham,85,100,"Eltham North, Eltham Community Centre"
Victoria,Geelong,Elwood,270,300,"Elwood Beach, local parks"
Victoria,Geelong,Elwood,70,85,"Elwood Beach, Elwood Park"
Victoria,Geelong,Epping,150,180,"Epping Plaza, local parks"
Victoria,Geelong,Epping,40,55,"Pacific Epping, Epping Plaza"
Victoria,Geelong,Epping,90,120,"Epping Plaza, local parks"
Victoria,Geelong,Essendon North,75,80,"Essendon North Shopping Centre, local parks"
Victoria,Geelong,Essendon North,75,85,"Essendon North Shopping Centre, Woodlands Park"
Victoria,Geelong,Essendon,65,75,"Essendon Fields, Windy Hill"
Victoria,Geelong,Essendon,70,80,"Essendon Fields, Windy Hill"
Victoria,Geelong,Essendon,75,80,"Essendon Airport, local parks"
Victoria,Geelong,Exford,90,115,"Exford Park, Werribee River"
Victoria,Geelong,Fairfield,80,90,"Fairfield Park, Yarra River"
Victoria,Geelong,Ferntree Gully,75,85,"Ferntree Gully National Park, Puffing Billy Railway"
Victoria,Geelong,Ferntree Gully,80,90,"Ferntree Gully National Park, Puffing Billy Railway"
Victoria,Geelong,Findon,50,70,"Findon Creek, Westfield West Lakes"
Victoria,Geelong,Fishermans Beach,45,105,"Fishermans Beach, coastal walks, scenic views"
Victoria,Geelong,Fitzroy North,80,90,"North Fitzroy, local parks"
Victoria,Geelong,Fitzroy,130,155,"Fitzroy Gardens, Melbourne Museum"
Victoria,Geelong,Fitzroy,230,260,"Fitzroy Gardens, local shops"
Victoria,Geelong,Fitzroy,75,80,"Fitzroy Gardens, Melbourne Museum"
Victoria,Geelong,Fitzroy,90,100,"Fitzroy Gardens, Melbourne Museum"
Victoria,Geelong,Flinders,250,280,"Flinders Beach, local parks"
Victoria,Geelong,Footscray,60,70,"Footscray Park, Maribyrnong River"
Victoria,Geelong,Footscray,75,120,"Footscray Market, Maribyrnong River, local shops"
Victoria,Geelong,Footscray,80,80,"Footscray Park, local cafes"
Victoria,Geelong,Forest Hill,75,85,"Forest Hill Chase Shopping Centre, Vermont South"
Victoria,Geelong,Forest Hill,85,95,"Forest Hill Chase, local parks"
Victoria,Geelong,Frankston North,105,125,"Frankston Power Centre, Long Island Beach"
Victoria,Geelong,Frankston North,220,250,"North Frankston, local parks"
Victoria,Geelong,Frankston North,280,310,"Frankston North Village, local parks"
Victoria,Geelong,Frankston South,220,250,"Frankston Beach, Ballam Park"
Victoria,Geelong,Frankston South,280,310,"Frankston Beach, local parks"
Victoria,Geelong,Frankston,100,120,"Frankston Beach, Botanic Gardens"
Victoria,Geelong,Frankston,100,120,"Frankston Beach, local cafes"
Victoria,Geelong,Frankston,220,250,"Frankston Beach, local cafes"
Victoria,Geelong,Freshwater Creek,21,81,"Freshwater Creek Reserve, scenic rural views"
Victoria,Geelong,Freshwater Creek,22,82,"Freshwater Creek Reserve, rural countryside"
Victoria,Geelong,Fyansford,18,65,"Fyansford Park, Barwon River"
Victoria,Geelong,Fyansford,20,70,"Fyansford Station, local parks, historical sites"
Victoria,Geelong,Fyansford,29,89,"Fyansford Bridge, historical sites, scenic views"
Victoria,Geelong,Geelong City Centre,30,80,"National Wool Museum, Geelong Art Gallery, Eastern Beach"
Victoria,Geelong,Geelong North,24,84,"Geelong North Football Club, local parks"
Victoria,Geelong,Geelong West,10,35,"Westfield Geelong, Geelong Waterfront"
Victoria,Geelong,Geelong West,20,70,"Pakington Street, Geelong West Shopping Village, local cafes"
Victoria,Geelong,Geelong West,25,85,"Pakington Street, Geelong West Village, local cafes"
Victoria,Geelong,Geelong West,28,88,"Geelong West Village, local shops, parks"
Victoria,Geelong,Geelong West,31,81,"Geelong West Shopping Village, local parks"
Victoria,Geelong,Geelong West,5,60,"Geelong West Village, local cafes, local parks"
Victoria,Geelong,Geelong West,5,60,"Geelong West Village, local cafes, parks"
Victoria,Geelong,Geelong,23,83,"Geelong Waterfront, Eastern Beach, National Wool Museum"
Victoria,Geelong,Gladstone Park,80,90,"Gladstone Park Shopping Centre, local parks"
Victoria,Geelong,Glen Iris,120,140,"Malvern Road, local cafes"
Victoria,Geelong,Glen Iris,80,90,"Tooronga Village Shopping Centre, Malvern Gardens"
Victoria,Geelong,Glen Waverley,100,115,"The Glen Shopping Centre, Jells Park"
Victoria,Geelong,Glen Waverley,95,110,"The Glen Shopping Centre, Jells Park"
Victoria,Geelong,Golden Square,170,190,"Golden Square Reserve, Bendigo Botanic Gardens"
Victoria,Geelong,Grantville,270,320,"Grantville Foreshore, local parks"
Victoria,Geelong,Greensborough North,85,95,"The Plenty Gorge Parklands, Barrowby Reserve"
Victoria,Geelong,Greensborough,140,170,"Greensborough Plaza, local parks"
Victoria,Geelong,Greensborough,240,270,"Greensborough Plaza, local parks"
Victoria,Geelong,Greensborough,85,100,"Greensborough Plaza, local parks"
Victoria,Geelong,Greensborough,90,105,"Greensborough Plaza, Greensborough War Memorial Park"
Victoria,Geelong,Grovedale East,12,65,"Grovedale East Shopping Centre, local parks"
Victoria,Geelong,Grovedale,12,65,"Grovedale Library, local parks, local shops"
Victoria,Geelong,Grovedale,12,70,"Grovedale Park, Waurn Ponds Shopping Centre, local cafes"
Victoria,Geelong,Grovedale,23,83,"Grovedale Recreation Reserve, local parks, residential areas"
Victoria,Geelong,Grovedale,27,87,"Grovedale Park, local sports clubs, shopping centres"
Victoria,Geelong,Grovedale,28,78,"Grovedale Community Park, local shops, schools"
Victoria,Geelong,Grovedale,28,88,"Waurn Ponds Shopping Centre, local wineries"
Victoria,Geelong,Grovedale,30,80,"Grovedale Park, local shops, schools, and parks"
Victoria,Geelong,Haddon,95,120,"Haddon Recreation Reserve"
Victoria,Geelong,Hadfield,60,70,"Hadfield Park, Seaford Railway Station"
Victoria,Geelong,Hallam,105,120,"Hallam Valley Reserve, local parks"
Victoria,Geelong,Hallam,180,210,"Hallam Valley Reserve, local parks"
Victoria,Geelong,Hallam,90,110,"Hallam Square, Hallam Reserve"
Victoria,Geelong,Hamilton,250,280,"Hamilton Gallery, Botanical Gardens"
Victoria,Geelong,Hampton East,90,105,"Bastow Reserve, Hampton Secondary College"
Victoria,Geelong,Hampton,85,100,"Hampton Beach, Hampton Library"
Victoria,Geelong,Hastings,250,280,"Hastings Foreshore, local parks"
Victoria,Geelong,Hawthorn,260,290,"Hawthorn Park, local cafes"
Victoria,Geelong,Healesville,120,135,"Healesville Sanctuary, Yarra Valley"
Victoria,Geelong,Heathmont,85,105,"Heathmont Railway Station, Dorset Road"
